"ID","icon","critterpedia_index","available_dry","available_wet","name","normalised_name","capture_quote","price","size","location","jan","feb","mar","apr","may","jun","jul","aug","sep","oct","nov","dec"
"[52231,39287847]","https://starwort.github.io/nookdata/assets/fish/55.png",55,1,1,"anchovy","anchovy","I caught an anchovy! Stay away from my pizza!",200,2,"Sea","#ROW[53331,40049633]","#ROW[53331,40049633]","#ROW[53331,40049633]","#ROW[53331,40049633]","#ROW[53331,40049633]","#ROW[53331,40049633]","#ROW[53331,40049633]","#ROW[53331,40049633]","#ROW[53331,40049633]","#ROW[53331,40049633]","#ROW[53331,40049633]","#ROW[53331,40049633]"
"[52231,39287972]","https://starwort.github.io/nookdata/assets/fish/35.png",35,1,1,"angelfish","angelfish","I caught an angelfish! That other fish told me to do it!",3000,2,"River","#ROW[53331,40049188]","#ROW[53331,40049188]","#ROW[53331,40049188]","#ROW[53331,40049188]","#ROW[53331,40049636]","#ROW[53331,40049636]","#ROW[53331,40049636]","#ROW[53331,40049636]","#ROW[53331,40049636]","#ROW[53331,40049636]","#ROW[53331,40049188]","#ROW[53331,40049188]"
"[52231,39296320]","https://starwort.github.io/nookdata/assets/fish/43.png",43,1,1,"arapaima","arapaima","I caught an arapaima! How did it get here? Arapaiknow!",10000,6,"River","#ROW[53331,40049188]","#ROW[53331,40049188]","#ROW[53331,40049188]","#ROW[53331,40049188]","#ROW[53331,40049188]","#ROW[53331,40049636]","#ROW[53331,40049636]","#ROW[53331,40049636]","#ROW[53331,40049636]","#ROW[53331,40049188]","#ROW[53331,40049188]","#ROW[53331,40049188]"
"[52231,39296569]","https://starwort.github.io/nookdata/assets/fish/57.png",57,1,1,"barred knifejaw","barred_knifejaw","I caught a barred knifejaw! They must have a hard time eating!",5000,3,"Sea","#ROW[53331,40049188]","#ROW[53331,40049188]","#ROW[53331,40049680]","#ROW[53331,40049680]","#ROW[53331,40049680]","#ROW[53331,40049680]","#ROW[53331,40049680]","#ROW[53331,40049680]","#ROW[53331,40049680]","#ROW[53331,40049680]","#ROW[53331,40049680]","#ROW[53331,40049188]"
"[52231,39296652]","https://starwort.github.io/nookdata/assets/fish/40.png",40,1,1,"arowana","arowana","I caught an arowana! I'd make a joke, but I don't 'wana.",10000,4,"River","#ROW[53331,40049188]","#ROW[53331,40049188]","#ROW[53331,40049188]","#ROW[53331,40049188]","#ROW[53331,40049188]","#ROW[53331,40049636]","#ROW[53331,40049636]","#ROW[53331,40049636]","#ROW[53331,40049636]","#ROW[53331,40049188]","#ROW[53331,40049188]","#ROW[53331,40049188]"
"[52231,39296770]","https://starwort.github.io/nookdata/assets/fish/36.png",36,1,1,"betta","betta","I caught a betta! I betta not drop it!",2500,2,"River","#ROW[53331,40049188]","#ROW[53331,40049188]","#ROW[53331,40049188]","#ROW[53331,40049188]","#ROW[53331,40049685]","#ROW[53331,40049685]","#ROW[53331,40049685]","#ROW[53331,40049685]","#ROW[53331,40049685]","#ROW[53331,40049685]","#ROW[53331,40049188]","#ROW[53331,40049188]"
"[52231,39296997]","https://starwort.github.io/nookdata/assets/fish/78.png",78,1,1,"barreleye","barreleye","I caught a barreleye! Like eyeing fish in a barrel!",15000,2,"Sea","#ROW[53331,40049678]","#ROW[53331,40049678]","#ROW[53331,40049678]","#ROW[53331,40049678]","#ROW[53331,40049678]","#ROW[53331,40049678]","#ROW[53331,40049678]","#ROW[53331,40049678]","#ROW[53331,40049678]","#ROW[53331,40049678]","#ROW[53331,40049678]","#ROW[53331,40049678]"
"[52231,39297073]","https://starwort.github.io/nookdata/assets/fish/00.png",0,1,1,"bitterling","bitterling","I caught a bitterling! It's mad at me, but only a little.",900,1,"River","#ROW[53331,40049680]","#ROW[53331,40049680]","#ROW[53331,40049680]","#ROW[53331,40049188]","#ROW[53331,40049188]","#ROW[53331,40049188]","#ROW[53331,40049188]","#ROW[53331,40049188]","#ROW[53331,40049188]","#ROW[53331,40049188]","#ROW[53331,40049680]","#ROW[53331,40049680]"
"[52231,39297349]","https://starwort.github.io/nookdata/assets/fish/21.png",21,1,1,"black bass","black_bass","I caught a black bass! The most metal of all fish!",400,4,"River","#ROW[53331,40049680]","#ROW[53331,40049680]","#ROW[53331,40049680]","#ROW[53331,40049680]","#ROW[53331,40049680]","#ROW[53331,40049680]","#ROW[53331,40049680]","#ROW[53331,40049680]","#ROW[53331,40049680]","#ROW[53331,40049680]","#ROW[53331,40049680]","#ROW[53331,40049680]"
"[52231,39301177]","https://starwort.github.io/nookdata/assets/fish/53.png",53,1,1,"blowfish","blowfish","[missing]",5000,3,"Sea","#ROW[53331,40049674]","#ROW[53331,40049674]","#ROW[53331,40049188]","#ROW[53331,40049188]","#ROW[53331,40049188]","#ROW[53331,40049188]","#ROW[53331,40049188]","#ROW[53331,40049188]","#ROW[53331,40049188]","#ROW[53331,40049188]","#ROW[53331,40049674]","#ROW[53331,40049674]"
